👕~shirt.png|59,136,195|61,138,198|0.6|0.65
🕓~clock4.png|225,232,237|193,204,211|0.4|0.76
🔙~back.png|45,52,58|45,52,58|0.36|0.36
🕟~clock430.png|225,232,237|193,204,211|0.4|0.76
🔕~no_bell.png|255,172,51|249,150,54|0.37|0.47
🍢~oden.png|217,158,130|183,168,162|0.11|0.32
🉐~ideograph_advantage.png|221,46,68|221,46,68|0.24|0.24
👎~-1.png|255,219,94|252,207,90|0.41|0.54
🚬~smoking.png|225,232,237|195,184,181|0.08|0.26
🍸~cocktail.png|136,153,166|177,186,189|0.09|0.27
🗻~mount_fuji.png|75,84,93|107,115,122|0.18|0.48
💰~moneybag.png|253,216,136|232,200,133|0.45|0.58
♈~aries.png|146,102,204|162,125,212|0.79|0.98
🌙~crescent_moon.png|255,218,132|255,216,125|0.2|0.24
👥~busts_in_silhouette.png|28,102,154|53,134,193|0.28|0.53
🍂~fallen_leaf.png|217,158,130|207,137,110|0.25|0.52
🎐~wind_chime.png|153,170,181|146,179,145|0.13|0.3
🔇~mute.png|204,214,221|193,163,175|0.19|0.36
📲~calling.png|84,173,239|71,134,180|0.4|0.64
🎸~guitar.png|188,19,49|186,100,117|0.13|0.29
📺~tv.png|84,173,239|66,116,153|0.32|0.68
🍖~meat_on_bone.png|193,105,79|200,122,86|0.31|0.42
🚄~bullettrain_side.png|59,136,195|110,146,174|0.22|0.64
🐍~snake.png|119,178,85|120,175,85|0.46|0.47
🌂~closed_umbrella.png|117,77,171|128,93,180|0.11|0.29
🎢~roller_coaster.png|204,214,221|184,168,184|0.14|0.42
💮~white_flower.png|255,255,255|244,168,179|0.25|0.61
🚲~bike.png|41,47,51|135,55,68|0.09|0.22
🍅~tomato.png|221,46,68|215,54,69|0.61|0.67
🚖~oncoming_taxi.png|255,204,77|200,185,122|0.26|0.65
😦~frowning.png|255,204,77|241,192,70|0.67|0.76
🌔~moon.png|255,218,132|224,196,123|0.45|0.74
😡~rage.png|218,47,71|195,47,68|0.63|0.76
😛~stuck_out_tongue.png|255,203,76|234,172,75|0.52|0.74
🚮~put_litter_in_its_place.png|59,136,195|104,163,209|0.69|0.98
🌿~herb.png|119,178,85|134,170,95|0.11|0.29
🈁~koko.png|59,136,195|83,151,202|0.8|0.98
🗿~moyai.png|204,214,221|167,179,187|0.32|0.62
😟~worried.png|255,204,77|235,186,67|0.62|0.76
📂~open_file_folder.png|85,172,238|66,146,207|0.42|0.69
🌓~first_quarter_moon.png|255,218,132|177,166,126|0.3|0.74
💊~pill.png|187,26,52|219,113,70|0.27|0.54
🔳~white_square_button.png|231,232,233|145,149,152|0.46|0.93
🎽~running_shirt_with_sash.png|85,172,238|115,174,207|0.44|0.69
🃏~black_joker.png|230,231,232|211,194,199|0.45|0.75
🐅~tiger2.png|255,172,51|228,156,51|0.27|0.34
🎏~flags.png|187,221,245|192,167,186|0.13|0.54
😁~grin.png|255,204,77|228,183,73|0.53|0.74
📫~mailbox.png|153,170,181|159,141,149|0.34|0.53
🎪~circus_tent.png|221,46,68|187,131,143|0.12|0.5
🐔~chicken.png|225,232,237|224,196,181|0.25|0.4
💥~boom.png|187,26,52|211,87,69|0.19|0.36
📖~book.png|204,214,221|174,193,207|0.2|0.66
🔡~abcd.png|59,136,195|102,162,208|0.69|0.98
🐑~sheep.png|225,232,237|228,225,209|0.46|0.57
🚔~oncoming_police_car.png|204,214,221|119,142,162|0.14|0.68
🈶~u6709.png|244,144,12|246,161,50|0.75|0.98
➕~heavy_plus_sign.png|45,52,58|45,52,58|0.23|0.23
♑~capricorn.png|146,102,204|165,128,213|0.77|0.98
🔌~electric_plug.png|45,52,58|57,65,72|0.21|0.24
👲~man_with_gua_pi_mao.png|255,220,93|204,162,84|0.23|0.52
🔥~fire.png|244,144,12|248,166,36|0.32|0.52
🐢~turtle.png|92,145,59|89,143,56|0.1|0.31
😂~joy.png|255,204,77|195,175,101|0.4|0.78
👆~point_up_2.png|255,220,93|255,220,93|0.37|0.37
🕢~clock730.png|225,232,237|193,204,211|0.4|0.76
🎠~carousel_horse.png|204,214,221|186,173,172|0.14|0.31
🐳~whale.png|56,137,196|62,143,203|0.38|0.5
👰~bride_with_veil.png|230,231,232|246,211,142|0.21|0.86
🐷~pig.png|244,171,186|233,143,158|0.49|0.78
🐻~bear.png|193,105,79|187,112,89|0.49|0.77
🐾~feet.png|102,33,19|102,33,19|0.19|0.19
💃~dancer.png|222,42,66|230,93,65|0.14|0.27
